,tipo_de_accidente,responsabilidad,descripcion_del_hecho,descripcion_del_hecho - Final
14,AUTO - CICLISTA,CONCURRENTE,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}{\f1\fmodern\fprq1\fcharset0 Consolas;}}
\viewkind4\uc1\pard\fs20 VH ASEG CIRCULANDO SOBRE CALLE MONROE  AL LLEGAR A LA INTERSECCION CON CALLE VIDELA UN VH LE DA EL PASO Y AL AVANZAR COLISIONA CON SU PARTE DELANTERA DERECHA EN LA RUEDA TRASERA DE UN TERCERO QUE CIRCULABA EN BICI, UN OCUPANTE, SIN CASCO COLOCADO, SE CAE\par
NO MANIFESTO LESIONES, SE RETIRO POR SUS PROPIOS MEDIOS. \par
SIN INTERVENCION DE AMBULANCIA NI POLICIA. SIN DESPLAZAMIENTOS.\par
\f1\fs21\par
\f0\fs20 EL ASEGURADO FORMALIZO EN SAN JUSTO \par
\par
LA BICICLETA CIRCULABA DESDE LA IZQUIERDA. LA ASEGURADA NO LA VIO. LA ASEGURADA FREN\'d2 Y CUANDO EL OTRO AUTO LE CEDE EL PASO ELLA COMIENZA A CRUZAR Y TERMINA EMBISTIENDO A LA BICICLETA QUE CIRCULABA POR DETR\'c0S DEL AUTO \par
\par
EL AUTO SOLO TIENE UN PEQUE\'d1O RAY\'d2N POR DEBAJO DE LA OPTICA DEL LADO DERECHO\par
\par
VUESTRO ASEGURADO FORMALIZO EN SAN JUSTO \par
\par
LA BICICLET ACIRCULABA DESDE LA IZQUIERDA. LA ASEGURADA NO LA VIO. LA ASEGURADA FREN\'d2 Y CUANDO EL OTRO AUTO LE CEDE EL PASO ELLA COMIENZA A CRUZAR Y TERMINA EMBISTIENDO A LA BICICLETA QUE CIRCULABA POR DETR\'c0S DEL AUTO \par
\par
EL AUTO SOLO TIENE UN PEQUE\'d1O RAY\'d2N POR DEBAJO DE LA OPTICA DEL LADO DERECHO \par
\f1\fs21\par
\f0\fs20\par}","VH ASEG CIRCULANDO SOBRE CALLE MONROE  AL LLEGAR A LA INTERSECCION CON CALLE VIDELA UN VH LE DA EL PASO Y AL AVANZAR COLISIONA CON SU PARTE DELANTERA DERECHA EN LA RUEDA TRASERA DE UN TERCERO QUE CIRCULABA EN BICI, UN OCUPANTE, SIN CASCO COLOCADO, SE CAE
NO MANIFESTO LESIONES, SE RETIRO POR SUS PROPIOS MEDIOS. 
SIN INTERVENCION DE AMBULANCIA NI POLICIA. SIN DESPLAZAMIENTOS.

 EL ASEGURADO FORMALIZO EN SAN JUSTO 

LA BICICLETA CIRCULABA DESDE LA IZQUIERDA. LA ASEGURADA NO LA VIO. LA ASEGURADA FRENo Y CUANDO EL OTRO AUTO LE CEDE EL PASO ELLA COMIENZA A CRUZAR Y TERMINA EMBISTIENDO A LA BICICLETA QUE CIRCULABA POR DETR\'c0S DEL AUTO 

EL AUTO SOLO TIENE UN PEQUEnO RAYoN POR DEBAJO DE LA OPTICA DEL LADO DERECHO

VUESTRO ASEGURADO FORMALIZO EN SAN JUSTO 

LA BICICLET ACIRCULABA DESDE LA IZQUIERDA. LA ASEGURADA NO LA VIO. LA ASEGURADA FRENo Y CUANDO EL OTRO AUTO LE CEDE EL PASO ELLA COMIENZA A CRUZAR Y TERMINA EMBISTIENDO A LA BICICLETA QUE CIRCULABA POR DETR\'c0S DEL AUTO 

EL AUTO SOLO TIENE UN PEQUEnO RAYoN POR DEBAJO DE LA OPTICA DEL LADO DERECHO 

"
20,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 : EL ASEGURADO IBA CIRCULANDO POR POTOSI Y AL LLEGAR AL DOMICILIO MANIOBRA PARA ATRAS Y COLISIONA UNA BICICLETA CON UNA MENOR DE 5 A\'d1OS. EL CICLISTA CAYO AL PISO. EL ASEGURADO LO LLEVO AL AL CENTRO DE ATENCION UPA DE LANUS. PARA SEGURIDAD LE RECOMENDARON LLEVAR AL EVITA PARA SACAR PLACA. NO INTERVINO POLICIA NI AMBULANCIA.\par
\par
18/01 EL ASEGURADO FORMALIZO EN LOMAS DE ZAMORA \par
EL DIO MARCHA ATR\'c1S Y EL MENOR ESTABA POR DETR\'c1S DEL AUTO \par
EL ASEGURADO ES UN HOMBRE MUY MAYOR, ACOMPA\'d1\'d3 AL MENOR A SU CASA Y LUEGO FUERON AL HOSPITAL JUNTO A ELLA. \par
LA ACOMPA\'d1\'d3 A TRES LUGARES DISTINTOS PORQUE NO HAB\'cdA TRAUMAT\'d3LOGO \par
FINALMENTE LOS DEJ\'d3 EN EL HOSPITAL EVITA Y SE FUE. \par
POR LO QUE SUPO NO LLEG\'d3 A SER UNA FRACTURA. \par
QUEDO EN PASARNOS EL T.E. DE LA MADRE DEL MENOR\par}",": EL ASEGURADO IBA CIRCULANDO POR POTOSI Y AL LLEGAR AL DOMICILIO MANIOBRA PARA ATRAS Y COLISIONA UNA BICICLETA CON UNA MENOR DE 5 AnOS. EL CICLISTA CAYO AL PISO. EL ASEGURADO LO LLEVO AL AL CENTRO DE ATENCION UPA DE LANUS. PARA SEGURIDAD LE RECOMENDARON LLEVAR AL EVITA PARA SACAR PLACA. NO INTERVINO POLICIA NI AMBULANCIA.

18/01 EL ASEGURADO FORMALIZO EN LOMAS DE ZAMORA 
EL DIO MARCHA ATRaS Y EL MENOR ESTABA POR DETRaS DEL AUTO 
EL ASEGURADO ES UN HOMBRE MUY MAYOR, ACOMPAn AL MENOR A SU CASA Y LUEGO FUERON AL HOSPITAL JUNTO A ELLA. 
LA ACOMPAn A TRES LUGARES DISTINTOS PORQUE NO HABA TRAUMATLOGO 
FINALMENTE LOS DEJ EN EL HOSPITAL EVITA Y SE FUE. 
POR LO QUE SUPO NO LLEG A SER UNA FRACTURA. 
QUEDO EN PASARNOS EL T.E. DE LA MADRE DEL MENOR"
35,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 FORMALIZO EN MORENO \par
\par
RATIFICA MECANICA, DICE QUE LA BICICLETA IBA A LA PAR, JUNTO AL CORD\'d2N, QUE SE ABRI\'d2 UN POQUITO Y EL ASEGURADO LO EMBISTI\'d2. \par
CAY\'d2 AL PISO, EL TERCERO IBA CON UN AMIGO. \par
\par
EL ASEGURADO LE OFRECI\'d2 LLEVARLO AL HOSPITAL. TENIA LA RODILLA HINCHADA. \par
\par
EL TERCERO ESTABA CON OTRO TERCERO AL QUE NO LE PASO NADA. NO TIENE DATOS DE LA OTRA PERSONA QUE IBA JUNTO AL TERCERO. \par
CON LA BICICLETA DEL TERCERO SE QUED\'d2 LA OTRA PERSONA. \par
\par
LO DEJ\'d2 EN EL HOSPITAL DE MERCLO, EVA PER\'d2N. LUEGO SE FUE Y LO FUERON A BUSCAR FAMILIARES CON LO CUAL NO SABE QUE LESIONES \par
EL TERCERO LUEGO DEL HECHO LO LLAM\'d3 RECLAMANDOLE COSAS DADO QU ENO TENIA OBRA SOCIAL, ETC. EL ASEGURADO LE PASO LOS DATOS Y LE DIJO QUE LLAME A LA CIA. \par
\par
NO PARTICIPO POLICIA NI AMBULANCIA\par
\pard\sa200\sl360\slmult1\par
\pard VUESTRO ASEGURADO FORMALIZO EN MORENO \par
RATIFICA MECANICA, DICE QUE LA BICICLETA IBA A LA PAR, JUNTO AL CORD\'d2N, QUE SE ABRI\'d2 UN POQUITO Y EL ASEGURADO LO EMBISTI\'d2. \par
CAY\'d2 AL PISO, EL TERCERO IBA CON UN AMIGO. \par
EL ASEGURADO LE OFRECI\'d2 LLEVARLO AL HOSPITAL. TENIA LA RODILLA HINCHADA. \par
EL TERCERO ESTABA CON OTRO TERCERO AL QUE NO LE PASO NADA. NO TIENE DATOS DE LA OTRA PERSONA QUE IBA JUNTO AL TERCERO. \par
CON LA BICICLETA DEL TERCERO SE QUED\'d2 LA OTRA PERSONA. \par
LO DEJ\'d2 EN EL HOSPITAL DE MERLO, EVA PER\'d2N. LUEGO SE FUE Y LO FUERON A BUSCAR FAMILIARES CON LO CUAL NO SABE QUE LESIONES \par
EL TERCERO LUEGO DEL HECHO LO LLAM\'d3 RECLAMANDOLE COSAS DADO QUE NO TENIA OBRA SOCIAL, ETC. EL ASEGURADO LE PASO LOS DATOS Y LE DIJO QUE LLAME A LA CIA. \par
NO PARTICIPO POLICIA NI AMBULANCIA\par
\pard\sa200\sl360\slmult1\par
\pard\par}","FORMALIZO EN MORENO 

RATIFICA MECANICA, DICE QUE LA BICICLETA IBA A LA PAR, JUNTO AL CORDoN, QUE SE ABRIo UN POQUITO Y EL ASEGURADO LO EMBISTIo. 
CAYo AL PISO, EL TERCERO IBA CON UN AMIGO. 

EL ASEGURADO LE OFRECIo LLEVARLO AL HOSPITAL. TENIA LA RODILLA HINCHADA. 

EL TERCERO ESTABA CON OTRO TERCERO AL QUE NO LE PASO NADA. NO TIENE DATOS DE LA OTRA PERSONA QUE IBA JUNTO AL TERCERO. 
CON LA BICICLETA DEL TERCERO SE QUEDo LA OTRA PERSONA. 

LO DEJo EN EL HOSPITAL DE MERCLO, EVA PERoN. LUEGO SE FUE Y LO FUERON A BUSCAR FAMILIARES CON LO CUAL NO SABE QUE LESIONES 
EL TERCERO LUEGO DEL HECHO LO LLAM RECLAMANDOLE COSAS DADO QU ENO TENIA OBRA SOCIAL, ETC. EL ASEGURADO LE PASO LOS DATOS Y LE DIJO QUE LLAME A LA CIA. 

NO PARTICIPO POLICIA NI AMBULANCIA

d VUESTRO ASEGURADO FORMALIZO EN MORENO 
RATIFICA MECANICA, DICE QUE LA BICICLETA IBA A LA PAR, JUNTO AL CORDoN, QUE SE ABRIo UN POQUITO Y EL ASEGURADO LO EMBISTIo. 
CAYo AL PISO, EL TERCERO IBA CON UN AMIGO. 
EL ASEGURADO LE OFRECIo LLEVARLO AL HOSPITAL. TENIA LA RODILLA HINCHADA. 
EL TERCERO ESTABA CON OTRO TERCERO AL QUE NO LE PASO NADA. NO TIENE DATOS DE LA OTRA PERSONA QUE IBA JUNTO AL TERCERO. 
CON LA BICICLETA DEL TERCERO SE QUEDo LA OTRA PERSONA. 
LO DEJo EN EL HOSPITAL DE MERLO, EVA PERoN. LUEGO SE FUE Y LO FUERON A BUSCAR FAMILIARES CON LO CUAL NO SABE QUE LESIONES 
EL TERCERO LUEGO DEL HECHO LO LLAM RECLAMANDOLE COSAS DADO QUE NO TENIA OBRA SOCIAL, ETC. EL ASEGURADO LE PASO LOS DATOS Y LE DIJO QUE LLAME A LA CIA. 
NO PARTICIPO POLICIA NI AMBULANCIA

d"
100,AUTO - CICLISTA,DISCUTIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 VH ASEGURADO CIRCULANDO POR CALLE SAN MARTIN EL CUAL ESTABA EN SEMAFORO EN VERDE E IMPACTA A BICILETA CON SU PARTE LATERAL IZQUIERDA DELANTERA BICILETA CIRCULANDO PASA SEMAFORO EN ROJO Y ES IMPACTADA POR VH ASEGURADO. 1 OCUPANTE EN LA BICILETA, SIN CASCO, CAE AL PISO, CON GOLPE EN EL CODO  CON INTERVENCION A LA POLICIAL Y AMBULANCIA ES TRASLADADA A HOSPITAL MUNICIPAL DE MARCOS PAZ POR EL MOMENTO EL ASEGURADO NO SABE QUE LESIONES TIENE EL AFECTADO DE LA BICILETA.\par
\par}","VH ASEGURADO CIRCULANDO POR CALLE SAN MARTIN EL CUAL ESTABA EN SEMAFORO EN VERDE E IMPACTA A BICILETA CON SU PARTE LATERAL IZQUIERDA DELANTERA BICILETA CIRCULANDO PASA SEMAFORO EN ROJO Y ES IMPACTADA POR VH ASEGURADO. 1 OCUPANTE EN LA BICILETA, SIN CASCO, CAE AL PISO, CON GOLPE EN EL CODO  CON INTERVENCION A LA POLICIAL Y AMBULANCIA ES TRASLADADA A HOSPITAL MUNICIPAL DE MARCOS PAZ POR EL MOMENTO EL ASEGURADO NO SABE QUE LESIONES TIENE EL AFECTADO DE LA BICILETA.
"
188,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}{\f1\fswiss\fprq2\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 MECANICA DEL HECHO S/ VS ASEGURADO: VHL ASEGURADO ESTACIONADO SOBRE MANO IZQUIERDA,VHL DE TERCERO(BICICLETA) CIRCULANDO POR MISMA CALLE. EL ASEGURADO INDICA QUE LA BICICLETA ESTA PASANDO ENTRE LOS VHL DETENIDOS POR SEMAFORO,ABRE LA PUERTA DELANTERA DERECHA(SU ESPOSA) Y COLISIONA CON LA BICICLETA.\par
ES UNA PERSONA QUE CONDUCE LA BICICLETA,LLEVA CASCO,CAE AL PAVIMENTO,RASPADO EL CODO Y DOLOR EN PIERNA DERECHA,NO SE LEVANTA. INTERVIENE POLICIA Y AMBULANCIA (SAME) Y LO LLEVABAN AL HOSPITAL DURAN.\par
\par
05/04 EL ASEGURADO FORMALIZO EN LA CIA.  \par
\par
RATIFICA MEC\'c1NICA DEL HECHO. ESTACIONO PARA QUE SU ESPOSA BAJE DEL VEHICULO Y AL ABRIR LA PUERTA EL CICLISTA IMPACTA LA MISMA. \par
EL ASEGURADO LLAMO A LA AMBULANCIA \par
EL TERCERO NO TEN\'cdA LESIONES VISIBLES \par
LE DIERON EL ALTA ENSEGUIDA SEG\'daN SUPO  \par
DICE QUE LA POLICIA LE PIDI\'d3 LOS DATOS, NO LO TRASLAD\'d3. \par
NO LE HICIERON ALCOHOLEMIA \par
QUEDO EN PASAR MAYORES DATOS  DEL TERCERO \par
\pard\sa200\sl360\slmult1\b\f1\par
\pard\b0\f0\par}","MECANICA DEL HECHO S/ VS ASEGURADO: VHL ASEGURADO ESTACIONADO SOBRE MANO IZQUIERDA,VHL DE TERCERO(BICICLETA) CIRCULANDO POR MISMA CALLE. EL ASEGURADO INDICA QUE LA BICICLETA ESTA PASANDO ENTRE LOS VHL DETENIDOS POR SEMAFORO,ABRE LA PUERTA DELANTERA DERECHA(SU ESPOSA) Y COLISIONA CON LA BICICLETA.
ES UNA PERSONA QUE CONDUCE LA BICICLETA,LLEVA CASCO,CAE AL PAVIMENTO,RASPADO EL CODO Y DOLOR EN PIERNA DERECHA,NO SE LEVANTA. INTERVIENE POLICIA Y AMBULANCIA (SAME) Y LO LLEVABAN AL HOSPITAL DURAN.

05/04 EL ASEGURADO FORMALIZO EN LA CIA.  

RATIFICA MECaNICA DEL HECHO. ESTACIONO PARA QUE SU ESPOSA BAJE DEL VEHICULO Y AL ABRIR LA PUERTA EL CICLISTA IMPACTA LA MISMA. 
EL ASEGURADO LLAMO A LA AMBULANCIA 
EL TERCERO NO TENA LESIONES VISIBLES 
LE DIERON EL ALTA ENSEGUIDA SEG\'daN SUPO  
DICE QUE LA POLICIA LE PIDI LOS DATOS, NO LO TRASLAD. 
NO LE HICIERON ALCOHOLEMIA 
QUEDO EN PASAR MAYORES DATOS  DEL TERCERO 

d0"
189,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 ASEGURADO DETENIDO CON BALIZAS SOBRE AV  DE MAYO, AL BAJAR EL ACOMPA\'d1ANTE, ES COLISIONADO EN PUERTA DELANETRA DERECHA POR UNA BICICLETA QUE CIRCULABA POR DETRAS.UN OCUPANTE , CAE SOLO LA BICICLETA, EL OCUPANTE NO, SE LASTIMO LA CARA. SIN DESPLAZAMIENTOS. NO INTERVINO POLICIA NI AMBULANCIA EN EL LUGAR. ASEG. LE OFRECE AYUDA AL CICLISTA.\par
\par
\pard\sa200\sl360\slmult1 AMPLIAMOS CON V/ ASEGURADA\par
ELLA ES QUIEN ABRI\'d2 LA PUERTA DEL ACOMPA\'d1ANTE DEL AUTOM\'d2VIL. ESTABAN DETENIDOS  PORQUE ELLA TEN\'cdA QUE BAJAR. \par
ESTABAN MAS O MENOS A MEDIO METRO DEL CORD\'d3N. RECONOCE QUE EN ESE LUGAR NO SE PUEDE ESTACIONAR. LA BICICLETA PASO ENTRE EL CORD\'d3N Y EL AUTO Y AH\'cd IMPACTO CON LA PUERTA \par
LA BICICLETA SE FUE HACIA LA VEREDA. EL TERCERO TEN\'cdA SANGRE EN LA CARA \par
LA ESPOSA DEL ASEGURADO LO QUISO ACOMPA\'d1AR A UNA CLINICA QUE QUEDABA AH\'cd NOMAS DE DONDE OCURRI\'d3 EL HECHO. LA CONSULTA LA PAG\'d3 LA ASEGURADA. LE PIDI\'d3 QUE LLAMARA A LA MADRE A BUSCARLO. \par
LA DOCTORA DIJO QUE ERA UN CORTE LEVE, QUE ERA PROFUNDO PARA COCER. QUE COMO LE DIJERON ESO ELLA INSISTI\'d3 EN QUE VINIERA LA MADRE Y QUE DECIDIERA ELLA QUE HACER \par
NO VIO DA\'d1OS EN LA BICICLETA.  \par
LLEGARON LOS PADRES Y GUARDARON LA BICICLETA. FUERON A OTRO HOSPITAL DONDE LE PUDIERA REALIZAR LA SUTURA UN CIRUJANO. SABE QUE LE DIERON UN PAR DE PUNTOS EN LA CARA Y LA VACUNA ANTITET\'c0NICA\par
\pard NO PARTICIP\'d2 POLICIA NI AMBULANCIA\par}","ASEGURADO DETENIDO CON BALIZAS SOBRE AV  DE MAYO, AL BAJAR EL ACOMPAnANTE, ES COLISIONADO EN PUERTA DELANETRA DERECHA POR UNA BICICLETA QUE CIRCULABA POR DETRAS.UN OCUPANTE , CAE SOLO LA BICICLETA, EL OCUPANTE NO, SE LASTIMO LA CARA. SIN DESPLAZAMIENTOS. NO INTERVINO POLICIA NI AMBULANCIA EN EL LUGAR. ASEG. LE OFRECE AYUDA AL CICLISTA.

 AMPLIAMOS CON V/ ASEGURADA
ELLA ES QUIEN ABRIo LA PUERTA DEL ACOMPAnANTE DEL AUTOMoVIL. ESTABAN DETENIDOS  PORQUE ELLA TENA QUE BAJAR. 
ESTABAN MAS O MENOS A MEDIO METRO DEL CORDN. RECONOCE QUE EN ESE LUGAR NO SE PUEDE ESTACIONAR. LA BICICLETA PASO ENTRE EL CORDN Y EL AUTO Y AH IMPACTO CON LA PUERTA 
LA BICICLETA SE FUE HACIA LA VEREDA. EL TERCERO TENA SANGRE EN LA CARA 
LA ESPOSA DEL ASEGURADO LO QUISO ACOMPAnAR A UNA CLINICA QUE QUEDABA AH NOMAS DE DONDE OCURRI EL HECHO. LA CONSULTA LA PAG LA ASEGURADA. LE PIDI QUE LLAMARA A LA MADRE A BUSCARLO. 
LA DOCTORA DIJO QUE ERA UN CORTE LEVE, QUE ERA PROFUNDO PARA COCER. QUE COMO LE DIJERON ESO ELLA INSISTI EN QUE VINIERA LA MADRE Y QUE DECIDIERA ELLA QUE HACER 
NO VIO DAnOS EN LA BICICLETA.  
LLEGARON LOS PADRES Y GUARDARON LA BICICLETA. FUERON A OTRO HOSPITAL DONDE LE PUDIERA REALIZAR LA SUTURA UN CIRUJANO. SABE QUE LE DIERON UN PAR DE PUNTOS EN LA CARA Y LA VACUNA ANTITET\'c0NICA
d NO PARTICIPo POLICIA NI AMBULANCIA"
251,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\sa200\sl360\slmult1\fs20 D\'cdA 28/04/19 ALREDEDOR DE LAS 12 PM EL ASEGURADO CONDUC\'cdA POR LA CALLE AZCUENAGA \par
EN DIRECCI\'d3N A LA CALLE 331 AL QUERER DOBLAR A LA DERECHA ENCIERRA UNA BICICLETA QUE CIRCULABA POR AZCUENAGA EN MISMA \par
DIRECCI\'d3N, EL TERCERO CAE DE LA BICICLETA Y EL ASEGURADO OFRECE ASISTENCIA PARA QUE SEA REVISADO PERO EL MISMO RECHAZA \par
LA ATENCI\'d3N, SE PASAN LOS DATOS DEL VEH\'cdCULO Y SE RETIRA DEL LUGAR\par
\pard\par}","DA 28/04/19 ALREDEDOR DE LAS 12 PM EL ASEGURADO CONDUCA POR LA CALLE AZCUENAGA 
EN DIRECCIN A LA CALLE 331 AL QUERER DOBLAR A LA DERECHA ENCIERRA UNA BICICLETA QUE CIRCULABA POR AZCUENAGA EN MISMA 
DIRECCIN, EL TERCERO CAE DE LA BICICLETA Y EL ASEGURADO OFRECE ASISTENCIA PARA QUE SEA REVISADO PERO EL MISMO RECHAZA 
LA ATENCIN, SE PASAN LOS DATOS DEL VEHCULO Y SE RETIRA DEL LUGAR
d"
294,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fswiss\fprq2\fcharset0 Calibri;}{\f1\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\f0\fs22 CUANDO CIRCULABA POR LA RUTA 40 EN DIRECCI\'d3N A GRAL. HORNOS UNA BICICLETA QUE VENIA DELANTE MIO SE CRUZA CUANDO VOY PASANDO  LA TRATO DE ESQUIVAR PERO ME COLISIONA EN MI LATERAL DERECHO Y GOLPEA EN EL PARABRISAS.\f1\fs20\par}",CUANDO CIRCULABA POR LA RUTA 40 EN DIRECCIN A GRAL. HORNOS UNA BICICLETA QUE VENIA DELANTE MIO SE CRUZA CUANDO VOY PASANDO  LA TRATO DE ESQUIVAR PERO ME COLISIONA EN MI LATERAL DERECHO Y GOLPEA EN EL PARABRISAS.
344,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 VH ASEG SE ENCONTRABA CIRCULANDO POR GRAL JOSE G ARTIGAS, CUANDO AL GIRAR POR  AV DR JUAN BAUTISTA JUSTO PARA INGRESAR EN LA ESTACION DE SERVICIO, CUANDO UNA BICICLETA QUE VENIA POR ESTA ULTIMA IMPACTA CONTRA MI AUTO, ASEG PRESENTA DA\'d1OS EN LA PARTE DELANTERA DERECHA ,  LA CONDUCTORA DE LA BICICLETA SE CAE AL CAPOT, Y ASEG LA ESTA TRASLADA AL CENTRO MEDICO. TIENE UN GOLPE EN LA CABEZA. SIN INTERVENCION DE AMBULANCIA Y POLICIA.\par}","VH ASEG SE ENCONTRABA CIRCULANDO POR GRAL JOSE G ARTIGAS, CUANDO AL GIRAR POR  AV DR JUAN BAUTISTA JUSTO PARA INGRESAR EN LA ESTACION DE SERVICIO, CUANDO UNA BICICLETA QUE VENIA POR ESTA ULTIMA IMPACTA CONTRA MI AUTO, ASEG PRESENTA DAnOS EN LA PARTE DELANTERA DERECHA ,  LA CONDUCTORA DE LA BICICLETA SE CAE AL CAPOT, Y ASEG LA ESTA TRASLADA AL CENTRO MEDICO. TIENE UN GOLPE EN LA CABEZA. SIN INTERVENCION DE AMBULANCIA Y POLICIA."
380,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}{\f1\fswiss\fprq2\fcharset0 Calibri;}}
\viewkind4\uc1\pard\fs20 VH ASEG ESTACIONADO CUANDO AL ABRIR LA PUERTA EL CONDUCTOR, IMPACTO ESTA ANTE UNA BICICLETA QUE CIRCULABA POR ALLI. SIN DESPLAZAMIENTOS NI LESIONADOS. (BICI: UNA PERSONA SIN CASCO. SE LEVANTA Y RETIRA POR SUS MEDIOS. NO INTERVIENE POLICIA NI AMBULANCIA).-\par
\par
NOS CONTACTAMOS CON EL ASEGURADO. RATIFIC\'d3 LA MEC\'c0CANI. \par
 \par
FORMALIZO DENUNCIA EN LA AGENCIA DE SAN JUSTO \par
MANIFIESTA QUE EL TERCERO SE RETIR\'d3 RAPIDAMENTE DEL LUGAR POR SUS PROPIOS MEDIOS. SABE QUE SE GOLPE\'d2 PERO NO MUCHO MAS. \par
MANIFESTABA DOLOR EN PIERNA Y HOMBRO. QUEDO EN PASARNOS MAS DATOS PARA PODER CONTACTARLO. \par
NO PARTICIPO POLICIA NI AMBULANCIA \f1\fs22\par
\f0\fs20\par}","VH ASEG ESTACIONADO CUANDO AL ABRIR LA PUERTA EL CONDUCTOR, IMPACTO ESTA ANTE UNA BICICLETA QUE CIRCULABA POR ALLI. SIN DESPLAZAMIENTOS NI LESIONADOS. (BICI: UNA PERSONA SIN CASCO. SE LEVANTA Y RETIRA POR SUS MEDIOS. NO INTERVIENE POLICIA NI AMBULANCIA).-

NOS CONTACTAMOS CON EL ASEGURADO. RATIFIC LA MEC\'c0CANI. 
 
FORMALIZO DENUNCIA EN LA AGENCIA DE SAN JUSTO 
MANIFIESTA QUE EL TERCERO SE RETIR RAPIDAMENTE DEL LUGAR POR SUS PROPIOS MEDIOS. SABE QUE SE GOLPEo PERO NO MUCHO MAS. 
MANIFESTABA DOLOR EN PIERNA Y HOMBRO. QUEDO EN PASARNOS MAS DATOS PARA PODER CONTACTARLO. 
NO PARTICIPO POLICIA NI AMBULANCIA 
"
