cod_accidente,descripcion,responsabilidad
AA,circulaba por avenida del libertador cuando impacto con parte delantera en parte trasera del tercero que se detiene delante de mi a raiz del impacto un ocupante del otro vehiculo manifestaba sentir dolor cervical por lo que interviene personal policial y de ambulancia cuales trasladan al mismo hasta hospital de moreno sin lesiones,COMPROMETIDA
AA,lugar de ocurrencia paseo y av circulando por paseo cuando llego al cruce con av soy colisionada por un auto que venia por esta ultima daniando parte delantera izquierda con impacto mi sobrina y acompanante en vh del ero resultan con dolores sin intervencion de ambulancia ni de policia,CONCURRENTE
AA,denuncia del tercero me encontraba detenido sobre av del libertador esperando cambio de semaforo de rojo a verde cuando soy embestido por tercero en parte trasera ocasionando danios detallados,COMPROMETIDA
AA,la avenida estaba congestionada y al frenar vehculo que venia delante mio no puede frenar a tiempo y lo embest,COMPROMETIDA
AA,circulaba por balbin y sin intencin colisiono a un vh tercero en su parte trasera con mi parte delantera por dicho impacto dicho vh tercero impacta a un do tercero en su parte trasera con parte delantera do tercero vw suran patente pet paz claudia natalia dni federacion patronal poliza parte trasera no hay otros terceros involucrados ni lesionados datos del tercero pablo arturo gru ford focus pfk qbe seguros,COMPROMETIDA
AA,colectora panamericana casi thames por cambio de semaforo frenada intempestiva ampliamos con asegurado en relacion a mecanica del hecho manifesto que circulaba por colectora panamericana casi thames que cree por cambio de semaforo rodado que le precedia freno intempestivamente no pudo evitar impactar al tercero en parte trasera no participo policia ni ambulancia cruzaron datos y se fueron del lugar vio que en auto viajaban conductor y un mujer de cual no tomo datos d,COMPROMETIDA
AA,circulando por david magdalena a lllegar a interseccion con calle belgrano se produce colision con mi parte delantera y parte trasera derecha de un camioneta que circulaba por belgrano a raiz del impacto camioneta se desplaza y embiste a un vh estacionado sin lesiones,CONCURRENTE
AA,circulaba por consejal jose dans rey doblo en derqui y no observo al tercero que freno y lo embisto en parte trasera con mi parte delantera en vh tercero hubo lesionados sin intervencion policial ni medica,COMPROMETIDA
AA,vh asegurado circulando por calle zabala colisiona con su parte frontal a parte un tercero que frena de golpe personas con casco tercero se retira por sus propios medios,COMPROMETIDA
AA,vh asegurado circulando por s de frontera colisiono con parte delantera a trasera de un tercero que se detuvo por semaforo sin lesiones ni desplazamientos aseg amplia que acompanante de tercero se tocaba cuello,COMPROMETIDA
AA,mecanica del hecho s vs asegurado circulando por corrientes cuando doblo a izquierda para continuar mi marcha por lavalle un vh que venia por esta ultima se asusta y cambia de carril invadiendo mano contraria que es por donde habia doblado yo calle doble mano y me impacta con su parte delantera en mi lateral izquierdo producto del impacto conductor aca pierde conocimiecont conocimiento es trasladado por ambulancia al hospital zonal de varelaen mi pueblojunto a tercero quien acuso lesiones en mano que le informaronal conductor aca luego en comisaria intervino policia de com ra de f varela entregandole vh luego de radicar denuncia dentro del vh del terc i ba otra persona desconociendo datos no hubo otros terceros inv ni lesionados datos del tercero silva bianca fernanda citr c mfw,COMPROMETIDA
AA,vh asegurado circulaba por calle nicaragua cuando colisiona su parte delantera en parte trasera de un tercero que freno por transito sin lesiones ni desplazamientos,COMPROMETIDA
AA,aseg maniobra para salir de lugar estacionado por av yrigoyen cuando impacta con un tercero que circulaba su lateral delantera izquierdo con lateral trasero derecho sin lesiones ni desplazamiento,COMPROMETIDA
AA,circulaba por avenida balbin cuando impacto con parte delantera en parte trasera de un tercero que se detiene por trafico delante de mi a raiz del impacto tercero se desplaza y colisiona con parte delantera en parte trasera de otro vehiculo del cual no tengo datos sin lesiones,COMPROMETIDA
AA,vh aseg circulando por calle alvarez jonte y en interseccion con calle miguel de salcedo un tercero que circulaba por esta ultima mencionada se atraviesa y aseg no logra evitar colision con su p b delantera en lateral derecho del tercero en vh asegurado hay personas lesionadas transportadas intervino transito no intervino ambulancia,CONCURRENTE
AA,circulando por calle menbrillar al pasar por derecha al tercero chevrolet celta es cuando este frena de golpe y no puedo evitar colisionarlo al tercero en parte trasera derecha con parte delantera izquierda de mi vh sin desplazamiento,COMPROMETIDA
AA,vh aseg circulando sobre av mosconi colisiona con su parte delantera en parte trasera de un tercero que detuvo marcha sobre misma tercero se deslpaza y colisiona otro vh sobre misma quien se desplaza y colisiona otro vh cual se desplaza y colisiona otro sin lesionados,COMPROMETIDA
AA,vhl asegurado se encontraba circulando por ayacucho delante se detiene un tercero por transito asegurado lo colisiona con su parte delantera en su parte trasera sin lesiones sin desplazamientos no interviene policia ni ambulancia,COMPROMETIDA
AA,vh aseg circulando por avda mitre avellaneda bs as cuando un tercero que circulaba por misma en igual sentido delante del asegurado frena por semaforo y ultimo lo embiste con parte frontal en parte trasera del tercero sin lesiones sin intervenciones sin desplazamientos,COMPROMETIDA
AA,circulaba por av pueyrredon cuando no puedo evitar colisionar al auto que tenia delante con mi parte delantera en su parte trasera izquierda sin desplazamientos ni lesionados,COMPROMETIDA
AA,circulando por av cristiania giro a mi mano derecha y tomo calle tokio antes de tomarla tercero que venia delante mio frena de manera imprevista a pesar de haber frenado no logro evitar contacto de parte frontal de mi vehiculo con parte trasera del tercero conductor acuso sufrir un golpe en su brazo derecho conductor del vehiculo del tercero sr gomez juan carlos dni lic de conducir nro emitido por g c b a otorgamiento vencimiento no hubo intervencion policial ni de ambulancia datos del tercero robledo gladys lujan fiat idea hlx fhg federacion patronal,COMPROMETIDA
AA,vh aseg circulando por independencia al llegar a interseccion con araoz aseg embiste con su parte frontal al lateral izquierdo de un vh tercero que cruzaba sobre calle araoz informa que conductora informo molestias en cuello no interviene policia y ambulancia ya que no considero lesion de gravedad y luego del intercambio de datos se retiran por sus propios medios sin desplazamientos,COMPROMETIDA
AA,circulaba por ruta cuando debido a un bache pierdo control del vehiculo e impacto con lateral izquierdo en lateral trasero izquierdo de un tercero chevrolet corsa que circulaba por misma en direccion contraria luego impacto con parte delantera en parte delantera de otro vehiculo vw amarok que circulaba en direccion contraria detras del primer vehculo a raiz del impacto conductor del vhlo chevrolet corsa manifestaba sentir dolor en espalda por lo que interviene personal de ambulancia cuales lo atienden en lugar luego involucrados se dirigen a dependencia policial d,COMPROMETIDA
AA,circulando por av de abril cuando estoy cruzando interseccion con sarratea se cruza sin prioridad de paso un vw bora freno pero no logro evitar colision de mi frente con su parte delantera izq ambos conductores fuimos trasladados al hosp lucio melendez de adrogue por ambulancia no hubo otro lesionado,DISCUTIDA
AA,asegurado circulando por terrero embiste con su parte delantera a un tercero que circulaba en mismo sentido en su parte trasera sin desplazamientos conductor del vehiculo tercero y asegurado sufren lesiones intervino policia y ambulancia,COMPROMETIDA
AA,me encontraba saliendo del estacionamiento del shopping cuando un tercero me impacta en mi parte delantera derecha de mi vh con su parte delantera no hubo lesionados ni mas terceros datos del tercero casteluccio agustin vw vento kmc federacion patronal,COMPROMETIDA
AA,circulando por de julio y mexico cuando embisto con mi parte delantera en parte trasera de un ero que detiene marcha por cambio del semaforo sin desplazamientos ni lesionados,COMPROMETIDA
