cod_accidente,descripcion,responsabilidad
aci,vehiculo asegurado circulando calle monroe llegar interseccion calle videla vehiculo da paso avenida colisiona su parte delantera derecha rueda trasera tercero circulaba bici ocupante sin casco colocado caeno manifesto lesiones retiro sus propios medios sin intervencion ambulancia policia sin desplazamientos asegurado formalizo san justo bicicleta circulaba en parte izquierda asegurado vio asegurado freno otro auto cede paso comienza cruzar termina colisiona bicicleta circulaba detrcs auto auto solo tiene pequeno rayon debajo optica parte derecha asegurado formalizo san justo biciclet acirculaba en parte izquierda asegurado vio asegurado freno otro auto cede paso comienza cruzar termina colisiona bicicleta circulaba detrcs auto auto solo tiene pequeno rayon debajo optica parte derecha,CONCURRENTE
aci,asegurado iba circulando potosi llegar domicilio maniobra para trasera colisiona bicicleta menor anos ciclista cayo piso asegurado llevo centro atencion upa lanus para seguridale recomendaron llevar evita para sacar placa intervino policia ambulancia asegurado formalizo lomas zamora dio marcha trasera menor estaba trasera auto asegurado es hombre muy mayor acompan menor su casa luego fueron hospital junto acompan tres lugares distintos porque haba traumatlogo finalmente dej hospital evita fue supo lleg ser fractura quedo pasarnos te madre menor,COMPROMETIDA
aci,mecanica hecho s vs asegurado vehiculo asegurado estacionado mano izquierda tercerobicicleta circulando misma calle asegurado indica bicicleta esta pasando entre vehiculo detenidos semaforoabre parte delantera derecha esposa colisiona bicicletaes persona conduce bicicletalleva cascocae pavenida codo dolor pierna derecha levanta interviene policia ambulancia same llevaban hospital duran asegurado formalizo cia ratifica mecanica hecho estaciono para su esposa baje  abrir parte ciclista colisiona misma asegurado llamo ambulancia tercero tena lesiones visibles dieron alta enseguida segdan supo dice policia pidi datos traslano hicieron alcoholemia quedo pasar mayores datos tercero d,COMPROMETIDA
aci,asegurado detenido balizas avenida mayo bajar acompanante es colisiona parte delantera derecha bicicleta circulaba detrasun ocupante cae solo bicicleta ocupante lastimo cara sin desplazamientos intervino policia ambulancia lugar asegurado ofrece ayuda ciclista ampliamos v asegurado es quien abrio parte derecha automovil estaban detenidos porque tena bajar estaban mas o menos medio metro cordn reconoce ese lugar puede estacionar bicicleta paso entre cordn auto ah colisiona parte bicicleta fue hacia vereda tercero tena sangre cara esposa asegurado quiso acompanante clinica quedaba ah nomas donde ocurri hecho consulta pag asegurado pidi llamara madre buscarlo doctora dijo era corte leve era profundo para cocer como dijeron eso insisti viniera madre decidiera hacer vio danos bicicleta llegaron padres guardaron bicicleta fueron otro hospital donde pudiera realizar sutura cirujano sabe dieron par puntos cara vacuna antitetcnicano participo policia ambulancia,COMPROMETIDA
aci,da alrededor pm asegurado conduca calle azcuenaga direccin calle querer doblar derecha encierra bicicleta circulaba azcuenaga misma direccin tercero cae bicicleta asegurado ofrece asistencia para sea revisado pero mismo rechaza atencin pasan datos  retira lugard,COMPROMETIDA
aci,vehiculo asegurado encontraba circulando general jose g artigas girar avenida dr juan bautista justo para ingresar estacion servicio bicicleta venia esta ultima colisiona contra mi auto asegurado presenta danos parte delantera derecha conductora bicicleta cae capot asegurado esta traslada centro medico tiene colisiona cabeza sin intervencion ambulancia policia,COMPROMETIDA
aci,vehiculo asegurado estacionado abrir parte izquierda colisiona esta ante bicicleta circulaba alli sin desplazamientos lesionados bici persona sin casco levanta retira sus medios interviene policia ambulancia contactamos asegurado ratific mecccani formalizo denuncia agencia san justo manifiesta tercero retir rapidamente lugar sus propios medios sabe colisiona pero mucho mas manifestaba dolor pierna hombro quedo pasarnos mas datos para poder contactarlo participo policia ambulancia,COMPROMETIDA
aci,vehiculo asegurado circulando esquina calle vergara cruza bicicleta colisiona parte delantera rueda delantera tercero tercero presento lesiones aparentes manifesto dolencia pierna derecha sin intervencion ambulancia interv policia sin desplazamientos,COMPROMETIDA
aci,bajando mi  parte abierta bicicleta colisiona mi parte delantera izquierda intervinieron polica ambulancia,COMPROMETIDA
aci,vehiculo asegurado circulando uriarte girar izquierda loyola fue colisiona parte delantera tercero circulaba bicisenda en parte izquierda asegurado sentido contrario calle loyola bici recuerda tenia casco cayo capot luego suelo circulaba bicisenda loyola tercero fue trasladado same htal duran intervino tambulancia policia,COMPROMETIDA
