cod_accidente,descripcion,responsabilidad
am,mecanica hecho s vs asegurado asegurado circulaba por calle alsina colisiona con su parte delantera con moto sobrepasarla por izquierda ubicarse delantera fren colisiona por transito moto iba sola persona no recuerda si llevaba o no casco ni moto ni ocupante caen piso conductor no presentaba lesiones visibles no intervino ambulancia ni policia corroboro todo con asgeurada trata tema muy leve responsabilidaes comprometida colisiona parte trasera tercera agende por whats app quedo mandar registro no formalizo adn no tiene te tercerad,COMPROMETIDA
am,asegurado estacionado calle boticelli descender fue colisiona parte delantera izquierda por tercero moto circulaba por misma por colisiona moto desplaza colisiona contra otro tercero circulaba por colectora moto sola persona con casco no interviene policia ni ambulancia tercero moto pasa buscar familiar porque tenia colisiona pierna ratifico mecanicaformalizo moron no tiene mas datos tercero,COMPROMETIDA
am,circulando por avenida independencia llegar avenida boedo con guino colocado para girar izquierda dicha avenida dejo pasar auto color pparte pero termina pasar ese vehiculo aparece moto termina dando roce entre mi parte delantera izquierda esa moto dicha moto venia unicamente conductor con casco colocado cae piso manifiesta dolores concurre ambulancia revisan lugar pero no trasladan concurre policia estaba zona toma datos pero no hay denuncia ni secuestro unidades,COMPROMETIDA
am,vehiculo asegurado estacionado calle rojo asegurado abre parte izquierda es colisiona por tercero moto persona con casco cae pavenida tercero retira por sus propios mediosel asegurado confirmo mecanica denunciada trata tema es muy leve no intervino policia ni ambulancia quedo obtener mayores datos tercero no tuvo colisiona despues hecho pero tercero tena seguro dio datos productor sabe donde queda oficina productor tercero con cual va ir pedir sus datos ah d,COMPROMETIDA
am,asegurado circulando avenida maipu sentido capital mano derecha intentar estacionar colisiona tercero circulando con casco con su parte trasera pinchando rueda trasera derecha sin desp ni les,COMPROMETIDA
am,circulaba por irigoin sentido oeste este tercero venia delantera fren colisiona yo venia trasera no pude evitar colisiona s eproducjo colisiona hecho s tercero estaba circulando por irigoin detuvo ese momento siente colisiona leve parte trasera su moto tuvo colisiona su esposa giselle no tienen certificados medicos porque no hicieron atender ya estaba dirigiendo su domicilio porque sus hijos encontraban sin compania adulto querian llegar rapido su casa danos moto son parte trasera tiene triunfo seguros,COMPROMETIDA
am,lunes aproximadamente hs circulando por calle bartolome mitre ramos meja queriendo doblar izquierda esquina con calle almirante brown colisiona con costado izquierda m auto moto circulaba por bartolome mitre ocupada por dos personas cuales caen piso intercambulancia datos personales seguro por parte ma ocupantes,COMPROMETIDA
am,asegurado circulando por avenida gaona colisiona con parte delantera tercero cual detiene forma abrupta por semaforo ocuptantes caen pavenida no interv ambulancia ni policia retiran por sus medios sin lesiones evidentes con casco,COMPROMETIDA
am,circulaba por c villegas llego interseccion con avenida larrazabal doblo derecha colisiona con moto venia por trasera cuyo conductor no advierte mi maniobra colisiona con parte delantera derecha mi unidael conductor moto su acompanante quienes llevaban casco cayeron piso pero no sufrieron lesionalguna por no llamamos ambulancia retiraron por sus propi os medios andando moto acompanante moto fabcundo lopez dni datos tercero sergio barrionuevo yamaha ybr jpc no posee,COMPROMETIDA
am,vehiculo asegurado giraba derecha para tomar lascanosiendo colisiona por motoa parte trasera derecha motociclista no caeno recuerda si llevaba cascono interviene nadieintercambulancia datos retirandose por sus medioscon molestia hombrote asegurada,COMPROMETIDA
am,asegurado circulando por avenida san martin con onda verde cruzaba galicia cambulancia semaforo amarillo tercero moto circulaba por esta ultima cruza colisiona parte izquierda ocupante con casco cae piso intervino policia ambulancia es trasladado htal alvarez donde constata q no tienen lesiones gravenida denuncia con conductor asegurado asegurado dice cruzo con semaforo amarillo posiblemente haya pasado rojo no vio moto moto colisiona parte delantera izquierda tercero fue trasladado ambulancia policia fue lugar pero no trasladaron dejaron ahcc fue buscar su hija no hicieron alcoholemia fue manana venia control medico tiene anos por eso no llevaron comisaria pero si llevaron auto todavenida no entregaron auto d,COMPROMETIDA
am,vehiculo asegurado circulando calle rucci es colisiona su parte trasera derecha con rueda delantera tercero moto cruzo rojo tres ocupantes sin cascos colocado caen moto conductor moto con lesiones rodilla izquierda acompanante con lesion pie menor con lesiones brazo izquierda ambulancia con traslado lesionados intervino policia retuvo vehiculo asegurado comisaria sin desplazamientosampliamos con asegurado sin casco ninguna ocupantes asegurado dice tercera cruz rojo moto no tenia seguro no va reclamar testigos no tiene ambulancia tralado tres policia llev veiculos pero asegurado no fue trasladado no hicieron alcoholemia d,DISCUTIDA
